step	gain
1	0.0208
2	0.0152
3	0.0000
4	0.0027
5	0.0000
6	0.0036
7	0.0072
8	0.0189
9	0.0035
10	0.0054
11	0.0000
12	0.0174
13	0.0000
14	0.0097
15	0.0108
16	0.0123
17	0.0115
18	0.0190
19	0.0361
20	0.0281
21	0.0260
22	0.0054
23	0.0053
24	0.0167
25	0.0115
26	0.0177
27	0.0078
28	0.0163
29	0.0193
30	0.0281
31	0.0071
32	0.0165
33	0.0088
34	0.0582
35	0.0272
36	0.0230
37	0.0488
38	0.0474
39	0.0289
40	0.0372
41	0.0298
42	0.0368
43	0.0333
44	0.0347
45	0.0456
46	0.0417
47	0.0260
48	0.0365
49	0.0191
50	0.0175
51	0.0556
52	0.0503
53	0.0217
54	0.0573
55	0.0564
56	0.0339
57	0.0561
58	0.0642
59	0.0447
60	0.0523
61	0.0408
62	0.0623
63	0.0851
64	0.0599
65	0.0737
66	0.0640
67	0.0521
68	0.1033
69	0.0295
70	0.0773
71	0.0599
72	0.0477
73	0.0570
74	0.0616
75	0.1094
76	0.0938
77	0.0720
78	0.0660
79	0.0799
80	0.0702
81	0.0842
82	0.0842
83	0.0773
84	0.0651
85	0.0938
86	0.0998
87	0.0807
88	0.1207
89	0.0737
90	0.0807
91	0.1172
92	0.1088
93	0.0885
94	0.0729
95	0.0868
96	0.1285
97	0.0895
98	0.1293
99	0.1241
100	0.1736
101	0.1007
102	0.1380
103	0.1198
104	0.1111
105	0.1224
106	0.0972
107	0.1406
108	0.1128
109	0.1536
110	0.1215
111	0.1858
112	0.2248
113	0.1868
114	0.1198
115	0.2127
116	0.1727
117	0.1927
118	0.1528
119	0.1545
120	0.2135
121	0.1719
122	0.2240
123	0.1901
124	0.1491
125	0.2674
126	0.1806
127	0.1797
128	0.2092
129	0.2079
130	0.1553
131	0.2665
132	0.2289
133	0.1939
134	0.2396
135	0.2702
136	0.2956
137	0.2816
138	0.2340
139	0.2708
140	0.2682
141	0.2535
142	0.3199
143	0.2700
144	0.2948
145	0.2947
146	0.3812
147	0.3307
148	0.3154
149	0.3352
150	0.3584
151	0.3223
152	0.3546
153	0.4299
154	0.3240
155	0.3343
156	0.3704
157	0.4222
158	0.4282
159	0.4428
160	0.3725
161	0.3074
162	0.4216
163	0.4231
164	0.4157
165	0.4365
166	0.4423
167	0.4156
168	0.4103
169	0.3722
170	0.4967
171	0.4498
172	0.4394
173	0.5502
174	0.5059
175	0.4754
176	0.3984
177	0.4452
178	0.4156
179	0.4154
180	0.4232
181	0.4567
182	0.3914
183	0.4577
184	0.5174
185	0.4378
186	0.4239
187	0.4950
188	0.5152
189	0.4009
190	0.6213
191	0.5573
192	0.4815
193	0.4558
194	0.4785
195	0.5253
196	0.4336
197	0.4044
198	0.4142
199	0.5027
200	0.5036
201	0.5423
202	0.5251
203	0.5155
204	0.4699
205	0.5776
206	0.4973
207	0.5201
208	0.5000
209	0.4788
210	0.4593
211	0.5191
212	0.5618
213	0.4583
214	0.4682
215	0.4836
216	0.5670
217	0.5364
218	0.5952
219	0.3635
220	0.5887
221	0.4370
222	0.5625
223	0.4574
224	0.5255
225	0.4241
226	0.6375
227	0.5271
228	0.6011
229	0.5603
230	0.5813
231	0.6337
232	0.5671
233	0.5913
234	0.4942
235	0.5417
236	0.6950
237	0.5873
238	0.5920
239	0.4825
240	0.5923
241	0.4560
242	0.5397
243	0.5190
244	0.5940
245	0.6937
246	0.4667
247	0.5086
248	0.6458
249	0.5718
250	0.5057
251	0.5687
252	0.4775
253	0.7247
254	0.6548
255	0.5068
256	0.5248
257	0.5000
258	0.6042
259	0.4667
260	0.5599
261	0.4948
262	0.4343
263	0.4914
264	0.6417
265	0.5617
266	0.5224
267	0.6875
268	0.7412
269	0.5417
270	0.6204
271	0.5385
272	0.6071
273	0.7679
274	0.5181
275	0.6398
276	0.7194
277	0.5710
278	0.5278
279	0.7241
280	0.5278
281	0.6797
282	0.6250
283	0.5215
284	0.5868
285	0.6786
286	0.6019
287	0.4714
288	0.5726
289	0.5417
290	0.5909
291	0.5067
292	0.5248
293	0.5911
294	0.4844
295	0.6419
296	0.4321
297	0.5476
298	0.6049
299	0.4433
300	0.6215
301	0.7292
302	0.7396
303	0.5637
304	0.6579
305	0.6863
306	0.5433
307	0.6313
308	0.5871
309	0.6374
310	0.6023
311	0.6449
312	0.5929
313	0.5873
314	0.6014
315	0.7222
316	0.6954
317	0.5660
318	0.6548
319	0.6515
320	0.3732
321	0.5471
322	0.5833
323	0.5577
324	0.5238
325	0.5517
326	0.4062
327	0.6579
328	0.6380
329	0.4615
330	0.5565
331	0.5161
332	0.5606
333	0.5000
334	0.4856
335	0.6056
336	0.4970
337	0.4292
338	0.5938
339	0.7049
340	0.5833
341	0.6508
342	0.7917
343	0.5603
344	0.5577
345	0.7576
346	0.6264
347	0.6404
348	0.6597
349	0.6983
350	0.7024
351	0.6667
352	0.5243
353	0.5444
354	0.5029
355	0.6122
356	0.8067
357	0.6522
358	0.6019
359	0.8478
360	0.5799
361	0.6488
362	0.5306
363	0.4529
364	0.5375
365	0.5567
366	0.6181
367	0.5804
368	0.4833
369	0.6700
370	0.6053
371	0.5556
372	0.5159
373	0.5750
374	0.3667
375	0.5972
376	0.6923
377	0.4035
378	0.4722
379	0.5250
380	0.6933
381	0.6250
382	0.7138
383	0.6917
384	0.5944
385	0.6548
